,name,url,year,text,cast,genre,director
0,Purna Bahadur Ko Sarangi,https://www.imdb.com/title/tt34498407/?ref_=sr_t_1,2024,"A struggling single father battles poverty, using his musical talents to support and inspire his son. Together, they persevere through hardship, fueled by the father's dream of a better life.","'bijay baral', 'prakash saput'",drama,sarojpoudel
1,Shambhala,https://www.imdb.com/title/tt30804400/?ref_=sr_t_2,2024,"In a Himalayan polyandrous village, pregnant PEMA faces scrutiny as her husband vanishes. With her monk brother-in-law, her de facto spouse, she seeks him in the wild, unraveling her own self-discovery along the journey","'thinley lhamo', 'sonam topden'",drama,minbahadurbham
2,The Man from Kathmandu Vol. 1,https://www.imdb.com/title/tt5364878/?ref_=sr_t_3,2019,"More than 20000 foreign fighters have joined ISIS, this story is different..","'gulshan grover', 'anna sharma'","action, drama",pemadhondup
3,Behuli from Meghauli,https://www.imdb.com/title/tt33097765/?ref_=sr_t_4,2024,"Behuli from Meghauli is a Nepali social drama about a father's struggle to find a perfect groom for his daughter, while she searches for true love. The film highlights family expectations with humor and emotion.","'bijay baral', 'nischal basnet'","comedy, drama",aakashbaral
4,12 Gaun,https://www.imdb.com/title/tt33655825/?ref_=sr_t_5,2024,"A son's quest for vengeance against a tyrannical village chief who murdered his parents. The chief rules through fear, oppressing villagers with his gang, forbidding escape. The son must confront the chief's ruthless reign to seek justice.","'biraj bhatta', 'samir bhatt'",action,birajbhatta
5,Dayarani,https://www.imdb.com/title/tt31243117/?ref_=sr_t_6,2024,missing,"'bijay baral', 'diya pun'",drama,maotsegurung
6,Prem Geet 3,https://www.imdb.com/title/tt21741272/?ref_=sr_t_7,2022,"Prem, the younger prince of the Kingdom of Khazaag, born in an auspicious astrological time to be the future King goes through his biggest obstacle in life, Geet, his only love.","'pradeep khadka', 'kristina gurung'","action, romance",chhetangurung
7,Khusma,https://www.imdb.com/title/tt33399689/?ref_=sr_t_8,2024,missing,"'dhiraj magar', 'upasana singh thakuri'","drama, family",ashokthapa
8,Death Zone: Cleaning Mount Everest,https://www.imdb.com/title/tt1999130/?ref_=sr_t_9,2018,"The dramatic self-documented story of 20 elite Nepali climbers who venture into the ""Death Zone"" of Mount Everest to restore their sacred mountain and the contaminated water source of 1.3 billion people.","'namgyal sherpa', 'chakra b. karki'","adventure, documentary, drama",marinamartins
9,Jaari,https://www.imdb.com/title/tt27513017/?ref_=sr_t_10,2023,Based on the love story of the Limbu community and will show the struggle of a man to bring back his wife.,"'dayahang rai', 'miruna magar'",drama,upendrasubba
10,Gharjwai,https://www.imdb.com/title/tt33051733/?ref_=sr_t_11,2024,"""Gharjwai"" revolves around the intertwined lives of three main characters: a seasoned farmer, a spirited young woman, and a mysterious stranger. As secrets unravel and emotions collide, the film explores themes of love, sacrifice, and redemption. Amidst breathtaking landscapes and cultural traditions, the characters grapple with their pasts, forging unexpected connections that will forever change their destinies.","'shishir bangdel', 'miruna lisara magar'","drama, romance",anilbudhamagar
11,Jhola,https://www.imdb.com/title/tt3700482/?ref_=sr_t_12,2013,"After her husband's death, a girl is forced to die due to the Sati practice in Nepal.","'garima panta', 'sujal nepal'","drama, history",yadavkumarbhattarai
12,Pujar Sarki,https://www.imdb.com/title/tt30497217/?ref_=sr_t_13,2024,"Three individuals unite against societal norms perpetuating caste discrimination, facing challenges in their collective struggle to defy the existing caste-based social order.","'aaryan sigdel', 'pradeep khadka'",drama,dineshraut
13,Bato: Road to Death,https://www.imdb.com/title/tt27618765/?ref_=sr_t_14,2024,"A paramedic, Komal gets assigned to a mission of delivering live human heart for transplant in an ambulance where she encounters mysterious people in her journey, with Manjil and Tony, leading to gruesome mishaps and dreadful events.","'mithila sharma', 'ashant sharma'","mystery, thriller",madanthapa
14,"Pooja, Sir",https://www.imdb.com/title/tt33030379/?ref_=sr_t_15,2024,"When two boys are kidnapped in a border town in Nepal, Detective Inspector Pooja is sent from Kathmandu to solve the case. But when she arrives, the brewing political unrest and violent protests throw her off course, and she is forced to seek help from Mamata, a local Madhesi policewoman. By putting aside systemic discrimination and pushing through everyday misogyny, the women solve the case - but at what personal cost? Inspired by real events which took place in Southern Nepal during the 2015 race protests.","'asha magrati', 'nikita chandak'","crime, thriller",deepakrauniyar
15,Boksi Ko Ghar,https://www.imdb.com/title/tt32332133/?ref_=sr_t_16,2024,"The plot follows a journalist investigating a village woman accused of witchcraft, attempting to uncover the truth behind the false accusations.","'keki adhikari', 'shupala sapkota'",thriller,sulakshyanbharati
16,Chhakka Panja 5,https://www.imdb.com/title/tt33829913/?ref_=sr_t_17,2024,missing,"'deepak raj giri', 'kedar ghimire'",comedy,deepashreeniraula
17,Hrashwo Deergha,https://www.imdb.com/title/tt33058210/?ref_=sr_t_18,2024,missing,"'harihar adhikari', 'mohammad ali'","action, comedy, drama",chandrapant
18,Pradeshi 2,https://www.imdb.com/title/tt29100768/?ref_=sr_t_19,2023,"It is an Nepali movie that explores the theme of Nepali youth going abroad for further studies, leaving their families behind. It likely delves into the challenges and emotions experienced by both the young individuals abroad .","'keki adhikari', 'dilip rayamajhi'","drama, family",narayanrayamajhi
19,Tel Visa,https://www.imdb.com/title/tt32562922/?ref_=sr_t_20,2h 34m,"Family from Nepal navigates cultural clashes in USA, social media's impact. Questions arise: cultural differences criminal? What's ""normal""? Family unity tested, survival uncertain.","'frances sherman', 'bipin karki'",drama,shankarghimire
20,A Road to a Village,https://www.imdb.com/title/tt21249176/?ref_=sr_t_21,2023,"A road constructed in a village brings development, opportunities but at some cost.","'dayahang rai', 'pashupati rai'",drama,nabinsubba
21,Chhakka Panja 4,https://www.imdb.com/title/tt26934236/?ref_=sr_t_22,2023,"A powerful man manipulates his way into politics. Over time, transformative experiences guide him towards a more ethical path, shifting his motivations and actions in a righteous direction.","'deepak raj giri', 'kedar ghimire'",comedy,hemrajbc
22,Bulbul,https://www.imdb.com/title/tt8622286/?ref_=sr_t_23,2019,A young mother waiting for her husband to be back for years falls in love with a guy while she looks after her paralyzed father-in-law.,"'swastima khadka', 'mukunda bhusal'",drama,binodpaudel
23,Eklo I,https://www.imdb.com/title/tt32400671/?ref_=sr_t_24,missing,"In 2090, the last human survivor lives in Nepal's mountains. When two astronauts return to Earth, they meet this sole survivor and unravel the mystery of zombies roaming the land, after humanity fled a virus outbreak in 2030.","'jamie bacon', 'pradeep khadka'",sci-fi,pradeepshahi
24,Kaha Bhetiyela,https://www.imdb.com/title/tt8374202/?ref_=sr_t_25,2008,missing,"'rabi giri', 'shweta khadka'",drama,shivaregmi
25,The Black Hen,https://www.imdb.com/title/tt4991660/?ref_=sr_t_26,2015,"They are bonded, nonetheless, by friendship and affection for a hen, whose eggs just might make a difference to Prakash's impoverished family. When the boy's father sells the bird, the chums desperately attempt to raise funds in order to buy it back.","'khadka raj nepali', 'sukra raj rokaya'","action, drama, history",minbahadurbham
26,Parastree,https://www.imdb.com/title/tt27950021/?ref_=sr_t_27,2023,Revolves around what happens after extra marital affairs.,"'saraswati adhikari', 'jhaken bc'",thriller,surajpandey
27,Ek Bhagavad Ra Ek Geeta,https://www.imdb.com/title/tt29253420/?ref_=sr_t_28,2023,missing,"'bipin karki', 'kabir khadka'",action,jharanathapa
28,Facebook,https://www.imdb.com/title/tt8761830/?ref_=sr_t_29,2012,missing,"'sbhan amini', 'rajesh hamal'",drama,surajsubba
29,Pashupati Prasad,https://www.imdb.com/title/tt5691226/?ref_=sr_t_30,2016,"When a man named Pashuati travels to Kathmandu to repay his father's debts, he discovers the sacred site of Pashupatinath. There, he confronts the dangers that lurk in the city.","'khagendra lamichhane', 'rabindra singh baniya'","comedy, drama, romance",dipendrak.khanal
30,Looking for a Lady with Fangs and a Moustache,https://www.imdb.com/title/tt11165704/?ref_=sr_t_31,2019,"When a series of visions send a skeptical entrepreneur to seek spiritual advice, an eccentric Buddhist monk predicts his imminent death, unless he can locate an elusive lady with fangs.","'orgyen tobgyal rinpoche', 'tsering tashi gyalthang'","drama, mystery",khyentsenorbu
31,Pashupati Prasad 2 Bhasme Don,https://www.imdb.com/title/tt29005176/?ref_=sr_t_32,2023,"Bhashme struggles to collect 10 lakhs rupees after learning that he'll get to meet his parents whom he has never seen. When Bhashme collects 10 lakhs of rupees after working in various ways, his friends steal his hard earned money from him. Bhashme starts a struggle with the aim of bringing back the ten lakh rupees taken from him and meeting his parents.","'rabindra singh baniya', 'bipin karki'","comedy, drama",dipendrak.khanal
32,Tandavam,https://www.imdb.com/title/tt33892868/?ref_=sr_t_33,2024,A simple lovely couple is expecting their first baby. Their happy life takes a mysterious turn and unleashes a massacre.,"'junim gahatraj', 'ankeet khadka'",thriller,junimgahatraj
33,Aama,https://www.imdb.com/title/tt12320684/?ref_=sr_t_34,2020,Yagya Prasad Aryal is in an incident which caused a serious head injury. His wife admits him to a hospital in Kathmandu.,"'saroj aryal', 'laxmi bhusal'",drama,dipendrak.khanal
34,A Place Under the Sun,https://www.imdb.com/title/tt32186678/?ref_=sr_t_35,2024,"Shot on iPhone 14 Pro Max, three best friends host a farewell barbecue before starting new chapters in their lives. The celebration quickly unravels when an uninvited stranger arrives, triggering unexpected revelations and hidden secrets.","'prabesh chettri', 'biplov gauli'","crime, drama",jasonlopchan
35,Bhool Bhulaiyaa,https://www.imdb.com/title/tt9081378/?ref_=sr_t_36,2015,missing,"'neeta dhungana', 'jiwan luitel'",romance,yogeshghimire
36,Jeevan Rekha,https://www.imdb.com/title/tt8500232/?ref_=sr_t_37,1982,missing,"'shiv shrestha', 'menakshi anand'",drama,prakashthapa
37,Superhit,https://www.imdb.com/title/tt10240904/?ref_=sr_t_38,2016,missing,"'binita baral', 'sudam ck'",thriller,niranjanpandey
